,Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
352,RB Leipzig,Dortmund,3,0,3,0,2.0,0.6
353,Schalke 04,Bochum,3,1,1,1,1.5,1.1
354,Eintracht Frankfurt,Wolfsburg,0,1,0,1,0.7,1.0
355,Bayern Munich,Stuttgart,2,2,2,1,2.2,1.2
356,Hertha BSC,Bayer Leverkusen,2,2,1,1,1.9,1.3
357,Köln,Union Berlin,0,1,0,0,0.6,1.5
358,Freiburg,Mönchengladbach,0,0,0,0,1.1,1.2
359,Mainz 05,Hertha BSC,1,1,0,1,0.7,0.4
360,Bayer Leverkusen,Werder Bremen,1,1,1,0,1.9,2.2
361,Augsburg,Bayern Munich,1,0,1,0,1.8,1.6
362,Mönchengladbach,RB Leipzig,3,0,2,0,2.8,0.9
363,Dortmund,Schalke 04,1,0,1,0,1.8,0.1
364,Stuttgart,Eintracht Frankfurt,1,3,1,1,1.1,1.0
365,Union Berlin,Wolfsburg,2,0,2,0,1.4,0.3
366,Bochum,Köln,1,1,0,0,0.2,2.1
367,Hoffenheim,Freiburg,0,0,0,0,0.7,1.0
368,Bayern Munich,Bayer Leverkusen,4,0,3,0,1.9,0.8
369,RB Leipzig,Bochum,4,0,1,0,4.1,0.1
370,Wolfsburg,Stuttgart,3,2,3,2,2.1,1.5
371,Eintracht Frankfurt,Union Berlin,2,0,1,0,0.9,1.0
372,Werder Bremen,Mönchengladbach,5,1,3,1,1.9,2.3
373,Freiburg,Mainz 05,2,1,1,1,2.4,1.7
374,Köln,Dortmund,3,2,3,1,1.9,2.6
375,Hertha BSC,Hoffenheim,1,1,1,1,0.9,1.5
376,Schalke 04,Augsburg,2,3,2,2,1.9,1.4
377,Hoffenheim,Werder Bremen,1,2,1,1,1.8,1.4
378,Augsburg,Wolfsburg,1,1,0,1,2.0,1.8
379,Mainz 05,RB Leipzig,1,1,1,1,0.6,1.1
380,Dortmund,Bayern Munich,2,2,2,1,1.6,0.6
381,Bayer Leverkusen,Schalke 04,4,0,4,0,1.5,0.4
382,Bochum,Eintracht Frankfurt,3,0,2,0,0.6,0.9
383,Mönchengladbach,Köln,5,2,3,0,3.0,1.3
384,Hertha BSC,Freiburg,2,2,1,2,1.6,1.0
385,Stuttgart,Union Berlin,0,1,0,1,1.0,0.7
386,Schalke 04,Hoffenheim,0,3,0,1,0.7,3.3
387,Eintracht Frankfurt,Bayer Leverkusen,5,1,2,1,3.9,0.4
388,RB Leipzig,Hertha BSC,3,2,2,0,3.1,2.4
389,Stuttgart,Bochum,4,1,2,0,2.2,1.6
390,Wolfsburg,Mönchengladbach,2,2,2,1,1.8,0.8
391,Werder Bremen,Mainz 05,0,2,0,2,1.3,1.1
392,Union Berlin,Dortmund,2,0,1,0,1.9,0.8
393,Bayern Munich,Freiburg,5,0,3,0,2.1,0.3
394,Köln,Augsburg,3,2,1,2,1.5,0.4
395,Mainz 05,Köln,5,0,2,0,1.9,0.7
396,Augsburg,RB Leipzig,3,3,2,1,1.6,2.5
397,Freiburg,Werder Bremen,2,0,1,0,3.0,0.5
398,Dortmund,Stuttgart,5,0,5,0,2.6,1.0
399,Mönchengladbach,Eintracht Frankfurt,1,3,1,2,1.0,1.9
400,Hoffenheim,Bayern Munich,0,2,0,2,0.8,2.5
401,Bayer Leverkusen,Wolfsburg,2,2,2,0,2.3,1.2
402,Bochum,Union Berlin,2,1,2,0,1.1,1.0
403,Hertha BSC,Schalke 04,2,1,1,1,0.8,0.6
404,Werder Bremen,Hertha BSC,1,0,1,0,1.4,0.4
405,Wolfsburg,Bochum,4,0,4,0,2.0,0.5
406,Bayern Munich,Mainz 05,6,2,5,2,3.2,2.2
407,Eintracht Frankfurt,Dortmund,1,2,1,2,2.0,0.6
408,Stuttgart,Augsburg,2,1,2,1,2.7,1.0
409,RB Leipzig,Bayer Leverkusen,2,0,2,0,1.2,0.1
410,Schalke 04,Freiburg,0,2,0,1,0.6,2.3
411,Köln,Hoffenheim,1,1,1,1,1.2,0.9
412,Union Berlin,Mönchengladbach,2,1,2,1,0.9,1.0
413,Mönchengladbach,Stuttgart,3,1,3,1,0.9,1.2
414,Werder Bremen,Schalke 04,2,1,2,1,1.0,1.4
415,Dortmund,Bochum,3,0,0,0,1.5,0.6
416,Mainz 05,Wolfsburg,0,3,0,2,1.0,0.6
417,Hertha BSC,Bayern Munich,2,3,1,1,1.2,1.9
418,Augsburg,Eintracht Frankfurt,1,2,1,1,1.2,1.2
419,Hoffenheim,RB Leipzig,1,3,1,1,0.9,1.7
420,Bayer Leverkusen,Union Berlin,5,0,5,0,1.9,0.3
421,Freiburg,Köln,2,0,2,0,1.5,0.5
422,Stuttgart,Hertha BSC,2,1,2,1,2.0,0.7
423,Bayern Munich,Werder Bremen,6,1,4,1,4.4,1.3
424,Wolfsburg,Dortmund,2,0,1,0,2.5,1.6
