Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG
Hoffenheim,Bayer Leverkusen,1,3,0,3,0.7,1.4
Freiburg,Stuttgart,2,1,0,1,2.1,1.1
Bayern Munich,Bochum,3,0,1,0,3.8,0.3
Mainz 05,Augsburg,3,1,3,0,2.4,1.5
RB Leipzig,Union Berlin,1,2,1,0,0.6,1.7
Hertha BSC,Mönchengladbach,4,1,3,1,3.0,0.5
Köln,Eintracht Frankfurt,3,0,2,0,1.2,0.3
Augsburg,Hoffenheim,1,0,1,0,1.7,0.7
Mönchengladbach,Bayern Munich,3,2,3,2,2.4,1.1
Wolfsburg,RB Leipzig,0,3,0,2,0.2,3.1
Stuttgart,Köln,3,0,2,0,1.6,0.5
Eintracht Frankfurt,Werder Bremen,2,0,1,0,2.1,0.3
Bochum,Freiburg,0,2,0,2,1.4,2.7
Union Berlin,Schalke 04,0,0,0,0,0.9,0.4
Bayer Leverkusen,Mainz 05,2,3,2,1,2.4,1.6
Dortmund,Hertha BSC,4,1,3,1,2.6,1.1
Mainz 05,Mönchengladbach,4,0,3,0,1.8,1.2
RB Leipzig,Eintracht Frankfurt,2,1,2,1,1.7,0.8
Hoffenheim,Dortmund,0,1,0,1,1.3,2.4
Schalke 04,Stuttgart,2,1,2,1,1.6,1.2
Köln,Wolfsburg,0,2,0,1,1.3,1.0
Werder Bremen,Bochum,3,0,2,0,1.2,0.5
Hertha BSC,Augsburg,2,0,1,0,0.6,0.5
Bayern Munich,Union Berlin,3,0,3,0,3.6,0.4
Freiburg,Bayer Leverkusen,1,1,0,1,0.9,2.2
Dortmund,RB Leipzig,2,1,0,1,1.2,2.2
Bochum,Schalke 04,0,2,0,1,1.3,0.6
Mainz 05,Hoffenheim,1,0,1,0,1.2,0.8
Union Berlin,Köln,0,0,0,0,0.5,0.9
Stuttgart,Bayern Munich,1,2,1,2,0.8,2.1
Mönchengladbach,Freiburg,0,0,0,0,1.5,0.3
Augsburg,Werder Bremen,2,1,2,1,0.6,2.4
Bayer Leverkusen,Hertha BSC,4,1,4,0,1.7,1.1
Wolfsburg,Eintracht Frankfurt,2,2,2,1,1.9,0.6
Köln,Bochum,0,2,0,1,0.7,1.4
RB Leipzig,Mönchengladbach,3,0,1,0,2.5,1.6
Eintracht Frankfurt,Stuttgart,1,1,0,1,0.7,0.8
Bayern Munich,Augsburg,5,3,3,1,2.4,2.5
Hertha BSC,Mainz 05,1,1,0,1,1.5,0.5
Schalke 04,Dortmund,2,2,2,2,1.5,2.0
Werder Bremen,Bayer Leverkusen,2,3,1,2,1.8,1.0
Freiburg,Hoffenheim,2,1,1,1,0.6,1.0
Wolfsburg,Union Berlin,1,1,1,0,1.7,1.3
Mönchengladbach,Werder Bremen,2,2,1,2,3.4,1.3
Stuttgart,Wolfsburg,0,1,0,1,0.5,0.6
Dortmund,Köln,6,1,5,0,3.5,1.7
Hoffenheim,Hertha BSC,3,1,0,0,2.7,1.0
Bochum,RB Leipzig,1,0,1,0,1.2,1.9
Augsburg,Schalke 04,1,1,1,0,0.3,1.8
Union Berlin,Eintracht Frankfurt,2,0,2,0,1.5,2.7
Mainz 05,Freiburg,1,1,0,1,1.0,1.7
Bayer Leverkusen,Bayern Munich,2,1,0,1,2.0,1.0
Eintracht Frankfurt,Bochum,1,1,0,0,3.2,1.2
Schalke 04,Bayer Leverkusen,0,3,0,3,1.1,2.8
RB Leipzig,Mainz 05,0,3,0,1,0.8,3.2
Wolfsburg,Augsburg,2,2,2,1,3.7,0.6
Freiburg,Hertha BSC,1,1,1,0,1.2,1.9
Bayern Munich,Dortmund,4,2,2,1,2.4,1.7
Union Berlin,Stuttgart,3,0,1,0,1.9,2.2
Köln,Mönchengladbach,0,0,0,0,1.0,1.0
Werder Bremen,Hoffenheim,1,2,1,2,0.9,1.1
Bayer Leverkusen,Eintracht Frankfurt,3,1,3,1,2.1,1.0
Augsburg,Köln,1,3,1,3,0.9,1.7
Hertha BSC,RB Leipzig,0,1,0,0,0.5,2.4
Dortmund,Union Berlin,2,1,1,1,2.6,0.5
Mainz 05,Werder Bremen,2,2,2,1,1.9,0.9
Freiburg,Bayern Munich,0,1,0,1,1.0,3.5
Hoffenheim,Schalke 04,2,0,0,0,2.2,0.7
Bochum,Stuttgart,2,3,1,2,2.4,2.2
Mönchengladbach,Wolfsburg,2,0,2,0,1.6,1.5
Schalke 04,Hertha BSC,5,2,3,0,2.2,1.6
Köln,Mainz 05,1,1,1,1,1.0,0.8
Stuttgart,Dortmund,3,3,2,1,1.4,1.9
Bayern Munich,Hoffenheim,1,1,1,0,1.7,0.5
Eintracht Frankfurt,Mönchengladbach,1,1,1,1,2.2,1.2
RB Leipzig,Augsburg,3,2,3,1,1.8,0.7
Wolfsburg,Bayer Leverkusen,0,0,0,0,0.9,1.2
Werder Bremen,Freiburg,1,2,1,2,1.7,0.8
Union Berlin,Bochum,1,1,0,0,1.2,1.8
Augsburg,Stuttgart,1,1,1,0,0.7,1.1
Hoffenheim,Köln,1,3,0,1,0.9,1.7
Mainz 05,Bayern Munich,3,1,2,1,1.6,1.9
Dortmund,Eintracht Frankfurt,4,0,4,0,1.1,0.6
Hertha BSC,Werder Bremen,2,4,1,3,1.6,2.0
Bochum,Wolfsburg,1,5,0,3,3.0,4.3
Bayer Leverkusen,RB Leipzig,2,0,1,0,1.1,2.2
Mönchengladbach,Union Berlin,0,1,0,1,0.7,1.3
Freiburg,Schalke 04,4,0,3,0,2.1,0.3
Bochum,Dortmund,1,1,0,1,0.9,2.9
RB Leipzig,Hoffenheim,1,0,1,0,1.4,0.3
Union Berlin,Bayer Leverkusen,0,0,0,0,0.8,0.8
Eintracht Frankfurt,Augsburg,1,1,0,1,0.6,0.7
Köln,Freiburg,0,1,0,1,1.6,1.6
Schalke 04,Werder Bremen,2,1,2,1,1.6,1.2
Stuttgart,Mönchengladbach,2,1,1,0,2.4,1.2
Bayern Munich,Hertha BSC,2,0,2,0,2.7,0.1
Wolfsburg,Mainz 05,3,0,3,0,1.9,1.8
Mainz 05,Schalke 04,2,3,1,2,1.4,3.0
Bayer Leverkusen,Köln,1,2,1,2,0.9,0.8
Hertha BSC,Stuttgart,2,1,2,1,1.2,1.5
Hoffenheim,Eintracht Frankfurt,3,1,2,0,2.2,2.3
