Home Team,Away Team,Home Goals,Away Goals,Home Ast,Away Ast,Home xG,Away xG,home_Gls,home_Sh,away_Gls,away_Sh
Hertha BSC,Stuttgart,2,1,2,1,1.2,1.5,37,368,78,529
Hoffenheim,Eintracht Frankfurt,3,1,2,0,2.2,2.3,65,457,48,402
Freiburg,RB Leipzig,0,1,0,0,0.4,2.0,43,392,74,528
Mönchengladbach,Bochum,2,0,1,0,1.9,1.1,55,451,41,524
Werder Bremen,Bayern Munich,1,2,1,1,0.7,1.4,45,407,93,633
Augsburg,Union Berlin,1,0,1,0,0.9,0.7,49,429,33,403
Dortmund,Wolfsburg,6,0,6,0,4.2,1.4,68,506,41,411
Köln,Hertha BSC,5,2,4,1,4.5,1.1,28,441,37,368
Union Berlin,Freiburg,4,2,4,1,1.5,2.1,33,403,43,392
Wolfsburg,Hoffenheim,2,1,2,0,1.1,1.0,41,411,65,457
Eintracht Frankfurt,Mainz 05,3,0,2,0,2.3,1.0,48,402,38,476
Dortmund,Mönchengladbach,5,2,2,1,4.7,2.0,68,506,55,451
Bayern Munich,Schalke 04,6,0,4,0,5.4,0.4,93,633,35,412
Bochum,Augsburg,3,2,2,2,1.3,1.9,41,524,49,429
Stuttgart,Bayer Leverkusen,1,1,0,0,1.4,1.8,78,529,87,611
RB Leipzig,Werder Bremen,2,1,2,1,2.2,1.1,74,528,45,407
Freiburg,Wolfsburg,2,0,2,0,1.3,0.7,43,392,41,411
Bayern Munich,RB Leipzig,1,3,1,0,1.7,3.0,93,633,74,528
Schalke 04,Eintracht Frankfurt,2,2,2,2,1.0,1.6,35,412,48,402
Hoffenheim,Union Berlin,4,2,2,2,2.4,2.0,65,457,33,403
Hertha BSC,Bochum,1,1,1,1,1.2,1.1,37,368,41,524
Werder Bremen,Köln,1,1,1,1,1.9,1.4,45,407,28,441
Augsburg,Dortmund,0,3,0,1,0.2,3.3,49,429,68,506
Mainz 05,Stuttgart,1,4,0,3,1.4,1.8,38,476,78,529
Bayer Leverkusen,Mönchengladbach,2,2,2,1,1.6,1.7,87,611,55,451
RB Leipzig,Schalke 04,4,2,3,1,2.7,1.2,74,528,35,412
Union Berlin,Werder Bremen,1,0,1,0,0.9,0.4,33,403,45,407
Stuttgart,Hoffenheim,1,1,1,1,2.5,0.8,78,529,65,457
Bochum,Bayer Leverkusen,3,0,3,0,1.3,0.8,41,524,87,611
Wolfsburg,Hertha BSC,1,2,1,1,3.5,2.1,41,411,37,368
Mönchengladbach,Augsburg,2,0,2,0,3.2,0.5,55,451,49,429
Köln,Bayern Munich,1,2,0,2,1.3,1.3,28,441,93,633
Eintracht Frankfurt,Freiburg,2,1,1,0,2.1,1.6,48,402,43,392
Dortmund,Mainz 05,2,2,2,2,4.0,1.8,68,506,38,476
Werder Bremen,Bayern Munich,0,4,0,4,0.6,2.9,45,407,93,633
Hoffenheim,Freiburg,1,2,0,0,1.4,2.7,65,457,43,392
Bayer Leverkusen,RB Leipzig,3,2,3,2,1.4,1.6,87,611,74,528
Dortmund,Köln,1,0,1,0,2.1,1.3,68,506,28,441
Stuttgart,Bochum,5,0,5,0,3.1,0.8,78,529,41,524
Wolfsburg,Heidenheim,2,0,2,0,2.2,1.2,41,411,46,392
Augsburg,Mönchengladbach,4,4,3,3,2.3,1.7,49,429,55,451
Union Berlin,Mainz 05,4,1,4,0,1.9,2.3,33,403,38,476
Eintracht Frankfurt,Darmstadt 98,1,0,1,0,1.5,0.6,48,402,28,404
RB Leipzig,Stuttgart,5,1,3,1,1.8,1.1,74,528,78,529
Darmstadt 98,Union Berlin,1,4,0,3,2.3,1.7,28,404,33,403
Bochum,Dortmund,1,1,1,1,1.0,1.3,41,524,68,506
Köln,Wolfsburg,1,2,1,1,0.9,1.7,28,441,41,411
Mönchengladbach,Bayer Leverkusen,0,3,0,3,0.9,2.8,55,451,87,611
Heidenheim,Hoffenheim,2,3,1,1,2.5,3.0,46,392,65,457
Freiburg,Werder Bremen,1,0,1,0,2.7,1.1,43,392,45,407
Mainz 05,Eintracht Frankfurt,1,1,0,1,1.2,1.1,38,476,48,402
Bayern Munich,Augsburg,3,1,1,1,2.9,0.7,93,633,49,429
Dortmund,Heidenheim,2,2,1,1,3.4,2.4,68,506,46,392
Bayer Leverkusen,Darmstadt 98,5,1,5,1,2.8,0.4,87,611,28,404
Stuttgart,Freiburg,5,0,5,0,1.7,1.1,78,529,43,392
Augsburg,Bochum,2,2,1,2,2.2,1.7,49,429,41,524
Werder Bremen,Mainz 05,4,0,3,0,2.7,0.5,45,407,38,476
Mönchengladbach,Bayern Munich,1,2,1,2,0.3,2.4,55,451,93,633
Hoffenheim,Wolfsburg,3,1,3,1,2.0,1.2,65,457,41,411
Eintracht Frankfurt,Köln,1,1,1,0,1.4,0.9,48,402,28,441
Union Berlin,RB Leipzig,0,3,0,3,0.3,1.2,33,403,74,528
Bayern Munich,Bayer Leverkusen,2,2,1,0,2.1,2.1,93,633,87,611
Freiburg,Dortmund,2,4,2,4,1.1,2.4,43,392,68,506
Mainz 05,Stuttgart,1,3,1,3,1.0,1.6,38,476,78,529
Wolfsburg,Union Berlin,2,1,1,1,0.4,1.1,41,411,33,403
Bochum,Eintracht Frankfurt,1,1,0,0,2.0,0.6,41,524,48,402
RB Leipzig,Augsburg,3,0,3,0,1.1,1.7,74,528,49,429
Köln,Hoffenheim,1,3,1,1,1.0,1.0,28,441,65,457
Heidenheim,Werder Bremen,4,2,3,1,2.2,3.0,46,392,45,407
Darmstadt 98,Mönchengladbach,3,3,3,2,1.2,3.9,28,404,55,451
Stuttgart,Darmstadt 98,3,1,3,0,2.3,0.2,78,529,28,404
Bayern Munich,Bochum,7,0,5,0,5.1,0.1,93,633,41,524
Augsburg,Mainz 05,2,1,1,1,0.8,0.6,49,429,38,476
Werder Bremen,Köln,2,1,2,0,2.1,1.5,45,407,28,441
Dortmund,Wolfsburg,1,0,1,0,1.7,0.5,68,506,41,411
Union Berlin,Hoffenheim,0,2,0,1,1.6,2.0,33,403,65,457
Mönchengladbach,RB Leipzig,0,1,0,0,0.8,0.7,55,451,74,528
Bayer Leverkusen,Heidenheim,4,1,3,1,3.5,0.5,87,611,46,392
Eintracht Frankfurt,Freiburg,0,0,0,0,0.6,0.6,48,402,43,392
Hoffenheim,Dortmund,1,3,0,1,2.0,1.6,65,457,68,506
Heidenheim,Union Berlin,1,0,0,0,0.8,2.2,46,392,33,403
Bochum,Mönchengladbach,1,3,1,3,1.7,3.1,41,524,55,451
Köln,Stuttgart,0,2,0,1,0.7,2.7,28,441,78,529
Mainz 05,Bayer Leverkusen,0,3,0,1,0.5,1.1,38,476,87,611
RB Leipzig,Bayern Munich,2,2,2,1,0.7,2.4,74,528,93,633
Wolfsburg,Eintracht Frankfurt,2,0,0,0,3.3,1.3,41,411,48,402
Freiburg,Augsburg,2,0,1,0,1.0,0.8,43,392,49,429
Darmstadt 98,Werder Bremen,4,2,3,2,2.4,1.5,28,404,45,407
Mönchengladbach,Mainz 05,2,2,2,2,2.4,0.8,55,451,38,476
Werder Bremen,Hoffenheim,2,3,2,2,0.8,1.9,45,407,65,457
Dortmund,Union Berlin,4,2,2,1,1.6,1.4,68,506,33,403
Stuttgart,Wolfsburg,3,1,1,0,2.7,1.2,78,529,41,411
RB Leipzig,Bochum,0,0,0,0,2.5,0.4,74,528,41,524
Augsburg,Darmstadt 98,1,2,0,0,0.9,1.8,49,429,28,404
Eintracht Frankfurt,Heidenheim,2,0,1,0,1.9,1.2,48,402,46,392
Bayer Leverkusen,Köln,3,0,3,0,3.3,1.4,87,611,28,441
Bayern Munich,Freiburg,3,0,3,0,2.4,0.1,93,633,43,392
Dortmund,Werder Bremen,1,0,1,0,2.7,0.4,68,506,45,407
Wolfsburg,Bayer Leverkusen,1,2,1,2,1.5,1.9,41,411,87,611
Mainz 05,Bayern Munich,1,3,1,3,1.1,1.8,38,476,93,633
Freiburg,Bochum,2,1,1,1,2.4,1.5,43,392,41,524
Hoffenheim,Eintracht Frankfurt,1,3,1,2,1.4,2.5,65,457,48,402
Darmstadt 98,RB Leipzig,1,3,0,2,2.5,1.9,28,404,74,528
Union Berlin,Stuttgart,0,3,0,3,0.6,1.4,33,403,78,529
Heidenheim,Augsburg,2,5,2,3,1.6,2.6,46,392,49,429
Köln,Mönchengladbach,3,1,1,1,2.7,0.3,28,441,55,451
Bochum,Mainz 05,2,2,1,1,1.4,0.4,41,524,38,476
Mönchengladbach,Heidenheim,2,1,0,0,1.0,0.4,55,451,46,392
Stuttgart,Hoffenheim,2,3,1,0,3.6,1.8,78,529,65,457
RB Leipzig,Köln,6,0,3,0,4.3,0.9,74,528,28,441
Werder Bremen,Union Berlin,2,0,1,0,0.8,0.6,45,407,33,403
Bayern Munich,Darmstadt 98,8,0,8,0,5.9,0.7,93,633,28,404
Augsburg,Wolfsburg,3,2,1,0,1.4,1.4,49,429,41,411
Bayer Leverkusen,Freiburg,2,1,2,1,1.4,0.9,87,611,43,392
Eintracht Frankfurt,Dortmund,3,3,1,2,2.8,2.2,48,402,68,506
Darmstadt 98,Bochum,1,2,1,1,0.7,1.2,28,404,41,524
Mainz 05,RB Leipzig,2,0,1,0,1.0,0.5,38,476,74,528
Union Berlin,Eintracht Frankfurt,0,3,0,2,0.7,1.6,33,403,48,402
Köln,Augsburg,1,1,0,1,2.1,2.6,28,441,49,429
Dortmund,Bayern Munich,0,4,0,4,1.0,3.4,68,506,93,633
Hoffenheim,Bayer Leverkusen,2,3,0,3,1.8,1.0,65,457,87,611
Freiburg,Mönchengladbach,3,3,2,2,3.4,2.2,43,392,55,451
Heidenheim,Stuttgart,2,0,1,0,1.2,2.9,46,392,78,529
Wolfsburg,Werder Bremen,2,2,1,1,1.6,1.3,41,411,45,407
Mönchengladbach,Wolfsburg,4,0,3,0,1.5,0.5,55,451,41,411
Darmstadt 98,Mainz 05,0,0,0,0,0.5,0.7,28,404,38,476
Augsburg,Hoffenheim,1,1,1,1,1.0,0.9,49,429,65,457
Bochum,Köln,1,1,0,1,4.0,0.9,41,524,28,441
Stuttgart,Dortmund,2,1,1,1,4.3,1.0,78,529,68,506
Bayern Munich,Heidenheim,4,2,3,0,2.0,0.9,93,633,46,392
RB Leipzig,Freiburg,3,1,1,1,1.9,0.5,74,528,43,392
Werder Bremen,Eintracht Frankfurt,2,2,1,2,1.5,2.0,45,407,48,402
Bayer Leverkusen,Union Berlin,4,0,4,0,2.4,0.0,87,611,33,403
Köln,Bayern Munich,0,1,0,0,0.2,3.9,28,441,93,633
Wolfsburg,RB Leipzig,2,1,2,1,1.0,2.8,41,411,74,528
Eintracht Frankfurt,Stuttgart,1,2,0,2,0.9,2.3,48,402,78,529
Freiburg,Darmstadt 98,1,1,1,1,1.6,0.4,43,392,28,404
Dortmund,Mönchengladbach,4,2,3,2,3.2,1.0,68,506,55,451
Werder Bremen,Bayer Leverkusen,0,3,0,2,0.2,1.0,45,407,87,611
Union Berlin,Augsburg,1,1,0,0,2.2,1.7,33,403,49,429
Heidenheim,Bochum,0,0,0,0,0.8,0.4,46,392,41,524
Hoffenheim,Mainz 05,1,1,1,1,1.5,1.8,65,457,38,476
Darmstadt 98,Köln,0,1,0,0,0.7,1.5,28,404,28,441
RB Leipzig,Heidenheim,2,1,1,1,4.1,1.1,74,528,46,392
Mönchengladbach,Hoffenheim,2,1,1,1,1.6,1.4,55,451,65,457
Bochum,Wolfsburg,3,1,3,1,1.5,1.3,41,524,41,411
Stuttgart,Werder Bremen,2,0,0,0,3.5,0.8,78,529,45,407
Augsburg,Eintracht Frankfurt,2,1,2,0,1.4,1.1,49,429,48,402
Bayer Leverkusen,Dortmund,1,1,0,1,2.1,0.7,87,611,68,506
Mainz 05,Freiburg,0,1,0,1,2.4,0.9,38,476,43,392
Hoffenheim,Bochum,3,1,2,1,1.5,1.6,65,457,41,524
Wolfsburg,Freiburg,0,1,0,1,1.2,1.1,41,411,43,392
Werder Bremen,Augsburg,2,0,2,0,1.5,0.7,45,407,49,429
Eintracht Frankfurt,Bayern Munich,5,1,3,1,1.3,2.1,48,402,93,633
Union Berlin,Mönchengladbach,3,1,0,1,2.1,1.1,33,403,55,451
Dortmund,RB Leipzig,2,3,2,1,1.6,2.9,68,506,74,528
Heidenheim,Darmstadt 98,3,2,3,1,1.5,0.9,46,392,28,404
Stuttgart,Bayer Leverkusen,1,1,1,1,2.7,1.3,78,529,87,611
Köln,Mainz 05,0,0,0,0,0.3,1.5,28,441,38,476
Mönchengladbach,Werder Bremen,2,2,2,2,1.4,1.6,55,451,45,407
Mainz 05,Heidenheim,0,1,0,1,1.6,0.5,38,476,46,392
Bochum,Union Berlin,3,0,1,0,2.8,0.7,41,524,33,403
RB Leipzig,Hoffenheim,3,1,1,1,3.1,0.8,74,528,65,457
Darmstadt 98,Wolfsburg,0,1,0,1,0.6,0.6,28,404,41,411
Augsburg,Dortmund,1,1,1,1,1.8,2.8,49,429,68,506
Bayern Munich,Stuttgart,3,0,2,0,2.9,0.4,93,633,78,529
Bayer Leverkusen,Eintracht Frankfurt,3,0,2,0,2.7,0.2,87,611,48,402
Freiburg,Köln,2,0,2,0,3.3,1.2,43,392,28,441
Werder Bremen,RB Leipzig,1,1,1,0,1.5,1.7,45,407,74,528
Hoffenheim,Darmstadt 98,3,3,2,3,3.5,0.8,65,457,28,404
Dortmund,Mainz 05,1,1,0,1,1.2,1.0,68,506,38,476
Union Berlin,Köln,2,0,2,0,1.6,0.8,33,403,28,441
Bayer Leverkusen,Bochum,4,0,3,0,3.3,0.4,87,611,41,524
Stuttgart,Augsburg,3,0,3,0,2.6,0.3,78,529,49,429
Heidenheim,Freiburg,3,2,2,1,1.9,1.8,46,392,43,392
Wolfsburg,Bayern Munich,1,2,1,2,0.3,2.6,41,411,93,633
Eintracht Frankfurt,Mönchengladbach,2,1,1,1,1.4,0.3,48,402,55,451
Bayern Munich,Hoffenheim,3,0,3,0,2.8,1.2,93,633,65,457
Köln,Heidenheim,1,1,1,0,0.9,1.0,28,441,46,392
Mainz 05,Wolfsburg,1,1,1,1,0.4,0.6,38,476,41,411
RB Leipzig,Eintracht Frankfurt,0,1,0,1,3.6,1.1,74,528,48,402
Augsburg,Bayer Leverkusen,0,1,0,1,0.4,2.0,49,429,87,611
Darmstadt 98,Dortmund,0,3,0,3,1.0,3.1,28,404,68,506
Freiburg,Union Berlin,0,0,0,0,1.8,0.5,43,392,33,403
Mönchengladbach,Stuttgart,3,1,2,1,2.0,0.9,55,451,78,529
Bochum,Werder Bremen,1,1,1,1,0.7,0.8,41,524,45,407
Köln,Dortmund,0,4,0,3,1.3,3.4,28,441,68,506
RB Leipzig,Bayer Leverkusen,2,3,2,3,1.6,2.0,74,528,87,611
Freiburg,Hoffenheim,3,2,3,2,2.7,1.4,43,392,65,457
Heidenheim,Wolfsburg,1,1,0,1,1.1,1.1,46,392,41,411
Bochum,Stuttgart,1,0,1,0,0.9,1.4,41,524,78,529
Darmstadt 98,Eintracht Frankfurt,2,2,2,2,1.1,1.3,28,404,48,402
Mönchengladbach,Augsburg,1,2,0,2,1.7,1.3,55,451,49,429
Bayern Munich,Werder Bremen,0,1,0,0,1.9,0.4,93,633,45,407
Bayern Munich,Union Berlin,1,0,0,0,2.2,0.2,93,633,33,403
Eintracht Frankfurt,Mainz 05,1,0,1,0,1.3,0.8,48,402,38,476
Werder Bremen,Freiburg,3,1,1,0,2.5,1.2,45,407,43,392
Hoffenheim,Heidenheim,1,1,0,1,3.0,1.1,65,457,46,392
Stuttgart,RB Leipzig,5,2,2,2,2.3,0.4,78,529,74,528
Wolfsburg,Köln,1,1,1,0,1.5,0.6,41,411,28,441
Bayer Leverkusen,Mönchengladbach,0,0,0,0,3.0,0.3,87,611,55,451
Augsburg,Bayern Munich,2,3,1,1,2.6,2.3,49,429,93,633
Union Berlin,Darmstadt 98,1,0,1,0,2.5,1.1,33,403,28,404
Dortmund,Bochum,3,1,1,0,3.0,0.5,68,506,41,524
Heidenheim,Dortmund,0,0,0,0,1.2,0.6,46,392,68,506
Köln,Eintracht Frankfurt,2,0,2,0,1.4,0.8,28,441,48,402
Darmstadt 98,Bayer Leverkusen,0,2,0,2,0.6,1.9,28,404,87,611
Bayern Munich,Mönchengladbach,3,1,2,1,2.1,1.0,93,633,55,451
